Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score
Lestaurtinib,1024,NCI-H1836,1240182,SCLC,lung,lung_small_cell_carcinoma,1.166919053,0.869132248,2,0.085888214,0.730852721
Lestaurtinib,1024,NCI-H196,1240186,SCLC,lung,lung_small_cell_carcinoma,0.214742231,0.83792824,2,0.127981619,0.142034928
Lestaurtinib,1024,NCI-H211,1240189,SCLC,lung,lung_small_cell_carcinoma,-2.51308252,0.533308248,2,0.054089856,-1.544827967
Lestaurtinib,1024,NCI-H841,1240192,SCLC,lung,lung_small_cell_carcinoma,1.539713307,0.913302657,2,0.131155362,0.961385418
Lestaurtinib,1024,NCI-H847,1240193,SCLC,lung,lung_small_cell_carcinoma,-1.30640777,0.698173472,2,0.119064493,-0.798630888
Lestaurtinib,1024,COR-L303,1297438,SCLC,lung,lung_small_cell_carcinoma,0.427806183,0.873522376,2,0.075916191,0.273791807
Lestaurtinib,1024,COR-L95,1297439,SCLC,lung,lung_small_cell_carcinoma,0.977608778,0.872644863,2,0.036599389,0.613784908
Lestaurtinib,1024,NCI-H1688,1298349,SCLC,lung,lung_small_cell_carcinoma,1.471496853,0.944170526,2,0.093066443,0.919200961
Lestaurtinib,1024,SW1271,1299062,SCLC,lung,lung_small_cell_carcinoma,0.972011982,0.811084026,2,0.097233447,0.610323899
Lestaurtinib,1024,HCC-33,1303901,SCLC,lung,lung_small_cell_carcinoma,-0.531640031,0.775806722,2,0.13758114,-0.319521315
Lestaurtinib,1024,COR-L32,1322212,SCLC,lung,lung_small_cell_carcinoma,0.115480944,0.832177852,2,0.071762723,0.080652619
Lestaurtinib,1024,NCI-H1341,1330964,SCLC,lung,lung_small_cell_carcinoma,-1.541185056,0.654478006,2,0.066669279,-0.943815101
Lestaurtinib,1024,NCI-H1876,1330972,SCLC,lung,lung_small_cell_carcinoma,-1.422823598,0.669621234,2,0.116191828,-0.870621414
Lestaurtinib,1024,NCI-H2066,1330973,SCLC,lung,lung_small_cell_carcinoma,1.981833266,0.885863332,2,0.090029659,1.234788521
Motesanib,1029,COR-L311,687980,SCLC,lung,lung_small_cell_carcinoma,4.964437562,0.98741945,10,0.078356542,-0.455981344
Motesanib,1029,DMS-114,687983,SCLC,lung,lung_small_cell_carcinoma,5.591185863,0.98409747,10,0.032878836,0.096954875
Motesanib,1029,DMS-273,687985,SCLC,lung,lung_small_cell_carcinoma,4.420468422,0.967766794,10,0.062340998,-0.935887296
Motesanib,1029,NCI-H1048,687995,SCLC,lung,lung_small_cell_carcinoma,5.76346828,0.990613704,10,0.022147807,0.24894761
Motesanib,1029,NCI-H1092,687997,SCLC,lung,lung_small_cell_carcinoma,5.7758432,0.981535194,10,0.106705591,0.259865137
Motesanib,1029,NCI-H1694,688006,SCLC,lung,lung_small_cell_carcinoma,4.10678313,0.969593971,10,0.047306756,-1.212629904
Motesanib,1029,NCI-H1963,688010,SCLC,lung,lung_small_cell_carcinoma,4.698238179,0.979843273,10,0.06174684,-0.690830455
Motesanib,1029,NCI-H2029,688011,SCLC,lung,lung_small_cell_carcinoma,5.487293738,0.990142663,10,0.023673495,0.005298114
Motesanib,1029,NCI-H209,688013,SCLC,lung,lung_small_cell_carcinoma,5.06209919,0.988312168,10,0.043962341,-0.369821317
Motesanib,1029,NCI-H2141,688014,SCLC,lung,lung_small_cell_carcinoma,6.124698766,0.985323222,10,0.028695388,0.567636019
Motesanib,1029,NCI-H2171,688015,SCLC,lung,lung_small_cell_carcinoma,4.341356607,0.993214024,10,0.023634929,-1.005682121
Motesanib,1029,NCI-H2227,688018,SCLC,lung,lung_small_cell_carcinoma,6.313868755,0.979233882,10,0.036962524,0.734527478
Motesanib,1029,NCI-H345,688021,SCLC,lung,lung_small_cell_carcinoma,6.728975341,0.982586896,10,0.031688898,1.100747005
Motesanib,1029,NCI-H446,688023,SCLC,lung,lung_small_cell_carcinoma,3.532335493,0.946808841,10,0.103346066,-1.719424903
Motesanib,1029,NCI-H526,688025,SCLC,lung,lung_small_cell_carcinoma,4.719506792,0.988404647,10,0.02990174,-0.672066644
Motesanib,1029,NCI-H64,688026,SCLC,lung,lung_small_cell_carcinoma,4.101233159,0.946101875,10,0.107972188,-1.217526256
Motesanib,1029,NCI-H69,688027,SCLC,lung,lung_small_cell_carcinoma,5.625474846,0.984548812,10,0.031904788,0.127205647
Motesanib,1029,NCI-H82,688031,SCLC,lung,lung_small_cell_carcinoma,3.410182018,0.95735639,10,0.080304766,-1.827192377
Motesanib,1029,LU-139,713878,SCLC,lung,lung_small_cell_carcinoma,5.573375042,0.986106399,10,0.039041287,0.081241632
Motesanib,1029,SBC-5,713880,SCLC,lung,lung_small_cell_carcinoma,4.858418466,0.986891413,10,0.042762492,-0.549514583
Motesanib,1029,SBC-1,713885,SCLC,lung,lung_small_cell_carcinoma,5.999716315,0.987791505,10,0.025879201,0.457372739
Motesanib,1029,LU-135,713899,SCLC,lung,lung_small_cell_carcinoma,4.62033012,0.977322958,10,0.094772299,-0.75956329
Motesanib,1029,SHP-77,724872,SCLC,lung,lung_small_cell_carcinoma,5.132600718,0.989490404,10,0.027199499,-0.307622746
Motesanib,1029,CPC-N,753547,SCLC,lung,lung_small_cell_carcinoma,4.462205633,0.977638771,10,0.030078407,-0.899065472
Motesanib,1029,DMS-79,753551,SCLC,lung,lung_small_cell_carcinoma,5.344407877,0.989843664,10,0.051165218,-0.120760094
Motesanib,1029,IST-SL1,753564,SCLC,lung,lung_small_cell_carcinoma,4.027931272,0.985022616,10,0.012792828,-1.282195388
Motesanib,1029,IST-SL2,753565,SCLC,lung,lung_small_cell_carcinoma,4.617382084,0.969649359,10,0.048526885,-0.762164136
Motesanib,1029,LB647-SCLC,753582,SCLC,lung,lung_small_cell_carcinoma,5.216485892,0.987713943,10,0.02939408,-0.23361672
Motesanib,1029,LU-134-A,753588,SCLC,lung,lung_small_cell_carcinoma,5.156059151,0.984648324,10,0.049632914,-0.28692701
Motesanib,1029,LU-165,753589,SCLC,lung,lung_small_cell_carcinoma,6.78863966,0.974160481,10,0.047089982,1.153384664
Motesanib,1029,MS-1,753594,SCLC,lung,lung_small_cell_carcinoma,4.987086334,0.990360556,10,0.030358817,-0.435999916
Motesanib,1029,NCI-H510A,753605,SCLC,lung,lung_small_cell_carcinoma,5.258543597,0.992911972,10,0.07483364,-0.196512147
Motesanib,1029,SBC-3,753610,SCLC,lung,lung_small_cell_carcinoma,5.49945977,0.984341055,10,0.033409819,0.016031354
Motesanib,1029,COR-L88,906808,SCLC,lung,lung_small_cell_carcinoma,4.95928588,0.976546054,10,0.082963339,-0.460526313
Motesanib,1029,DMS-53,907295,SCLC,lung,lung_small_cell_carcinoma,5.745282883,0.985631091,10,0.042750219,0.232903904
Motesanib,1029,NCI-H1105,908468,SCLC,lung,lung_small_cell_carcinoma,5.958442682,0.992466726,10,0.016209554,0.420959897
Motesanib,1029,NCI-H1436,908469,SCLC,lung,lung_small_cell_carcinoma,5.409096996,0.98802284,10,0.027817763,-0.063689406
Motesanib,1029,NCI-H2081,908480,SCLC,lung,lung_small_cell_carcinoma,5.1151807,0.97431285,10,0.034449572,-0.32299121
Motesanib,1029,NCI-H2196,908481,SCLC,lung,lung_small_cell_carcinoma,5.999046962,0.984476401,10,0.033944426,0.456782215
Motesanib,1029,NCI-H524,908483,SCLC,lung,lung_small_cell_carcinoma,4.890316269,0.989743175,10,0.02774372,-0.521373381
Motesanib,1029,NCI-H748,909194,SCLC,lung,lung_small_cell_carcinoma,5.107753816,0.982145297,10,0.029239579,-0.329543431
Motesanib,1029,COLO-668,910692,SCLC,lung,lung_small_cell_carcinoma,5.660405819,0.986886843,10,0.029244868,0.158022804
Motesanib,1029,NCI-H146,910899,SCLC,lung,lung_small_cell_carcinoma,5.717909366,0.9869787,10,0.053748812,0.208754164
Motesanib,1029,COR-L279,910937,SCLC,lung,lung_small_cell_carcinoma,4.647742499,0.983472017,10,0.023777223,-0.735379264
Motesanib,1029,NCI-H250,924241,SCLC,lung,lung_small_cell_carcinoma,5.231315163,0.964245112,10,0.077152627,-0.220533891
Motesanib,1029,NCI-H1836,1240182,SCLC,lung,lung_small_cell_carcinoma,6.635195159,0.983630818,10,0.03407805,1.018011305
Motesanib,1029,NCI-H196,1240186,SCLC,lung,lung_small_cell_carcinoma,5.657663209,0.988182422,10,0.063478903,0.15560319
Motesanib,1029,NCI-H211,1240189,SCLC,lung,lung_small_cell_carcinoma,4.90876965,0.988263194,10,0.083120793,-0.505093253
Motesanib,1029,NCI-H841,1240192,SCLC,lung,lung_small_cell_carcinoma,5.844527573,0.984928268,10,0.030798601,0.320460558
Motesanib,1029,NCI-H847,1240193,SCLC,lung,lung_small_cell_carcinoma,4.607343995,0.990762736,10,0.029199412,-0.77102004
Motesanib,1029,COR-L303,1297438,SCLC,lung,lung_small_cell_carcinoma,5.051214754,0.988951753,10,0.028380022,-0.379423894
Motesanib,1029,COR-L95,1297439,SCLC,lung,lung_small_cell_carcinoma,6.02375467,0.983451987,10,0.031760543,0.478580099
Motesanib,1029,NCI-H1688,1298349,SCLC,lung,lung_small_cell_carcinoma,4.683886021,0.986653757,10,0.088848071,-0.70349236
Motesanib,1029,SW1271,1299062,SCLC,lung,lung_small_cell_carcinoma,7.360099748,0.971116825,10,0.038565976,1.657543957
Motesanib,1029,HCC-33,1303901,SCLC,lung,lung_small_cell_carcinoma,5.1892303,0.987649033,10,0.049624572,-0.257662424
Motesanib,1029,COR-L32,1322212,SCLC,lung,lung_small_cell_carcinoma,4.414846919,0.971544605,10,0.05335892,-0.940846756
Motesanib,1029,NCI-H1341,1330964,SCLC,lung,lung_small_cell_carcinoma,3.414311019,0.941362874,10,0.10049436,-1.823549647
Motesanib,1029,NCI-H1876,1330972,SCLC,lung,lung_small_cell_carcinoma,5.092092456,0.984096674,10,0.041251042,-0.343360354
Motesanib,1029,NCI-H2066,1330973,SCLC,lung,lung_small_cell_carcinoma,6.671768049,0.971910919,10,0.043245124,1.05027701
Afatinib,1032,COR-L311,687980,SCLC,lung,lung_small_cell_carcinoma,1.50150372,0.85693637,10,0.13280354,-0.062902
Afatinib,1032,DMS-114,687983,SCLC,lung,lung_small_cell_carcinoma,2.18106212,0.88393315,10,0.11000208,0.39594406
Afatinib,1032,DMS-273,687985,SCLC,lung,lung_small_cell_carcinoma,1.28558197,0.82501284,10,0.13602244,-0.208695
Afatinib,1032,NCI-H1048,687995,SCLC,lung,lung_small_cell_carcinoma,2.18595191,0.89554201,10,0.10550621,0.3992457
Afatinib,1032,NCI-H1092,687997,SCLC,lung,lung_small_cell_carcinoma,3.13493846,0.92361959,10,0.08392732,1.04001289
Afatinib,1032,NCI-H1694,688006,SCLC,lung,lung_small_cell_carcinoma,2.24269493,0.90417106,10,0.12475729,0.43755928
Afatinib,1032,NCI-H1963,688010,SCLC,lung,lung_small_cell_carcinoma,1.40672636,0.84304147,10,0.13646343,-0.1268968
Afatinib,1032,NCI-H2029,688011,SCLC,lung,lung_small_cell_carcinoma,2.3097365,0.90751727,10,0.11336153,0.48282655
Afatinib,1032,NCI-H209,688013,SCLC,lung,lung_small_cell_carcinoma,0.43085439,0.7598457,10,0.13688173,-0.7858173
Afatinib,1032,NCI-H2141,688014,SCLC,lung,lung_small_cell_carcinoma,2.68529162,0.90272088,10,0.08785347,0.73640591
Afatinib,1032,NCI-H2171,688015,SCLC,lung,lung_small_cell_carcinoma,1.08864123,0.90152351,10,0.02585697,-0.3416717
Afatinib,1032,NCI-H2227,688018,SCLC,lung,lung_small_cell_carcinoma,4.11170159,0.96098208,10,0.09753308,1.69953515
Afatinib,1032,NCI-H345,688021,SCLC,lung,lung_small_cell_carcinoma,2.48505378,0.87291479,10,0.12801953,0.6012029
Afatinib,1032,NCI-H446,688023,SCLC,lung,lung_small_cell_carcinoma,0.6284056,0.7726238,10,0.14588688,-0.6524284
Afatinib,1032,NCI-H526,688025,SCLC,lung,lung_small_cell_carcinoma,1.59226897,0.87110068,10,0.12276094,-0.0016162
Afatinib,1032,NCI-H64,688026,SCLC,lung,lung_small_cell_carcinoma,1.18687978,0.76127573,10,0.13446435,-0.2753399
Afatinib,1032,NCI-H69,688027,SCLC,lung,lung_small_cell_carcinoma,0.596611,0.70918695,10,0.12156649,-0.6738965
Afatinib,1032,NCI-H82,688031,SCLC,lung,lung_small_cell_carcinoma,0.83747432,0.80271809,10,0.13287676,-0.5112627
Afatinib,1032,LU-139,713878,SCLC,lung,lung_small_cell_carcinoma,1.2964063,0.8256708,10,0.12549114,-0.2013862
Afatinib,1032,SBC-5,713880,SCLC,lung,lung_small_cell_carcinoma,1.77928515,0.87942439,10,0.12797228,0.1246594
Afatinib,1032,SBC-1,713885,SCLC,lung,lung_small_cell_carcinoma,2.55076212,0.93157292,10,0.04256961,0.64556996
Afatinib,1032,LU-135,713899,SCLC,lung,lung_small_cell_carcinoma,0.85526381,0.79440603,10,0.12024713,-0.499251
